segment,start,end,duration_min,n_samples,feed_rate,classifier_speed,tension_pressure,mill_fan_speed,main_drive_speed,recirculation_damper_position,stack_damper_position,hotgas_generator_load,total_specific_energy,tonnage,roller_height_1,roller_height_2,roller_height_3,roller_height_4,roller_temperature
1970-11-27_14-25,2021-11-26 14:25:00.993,2021-11-26 14:44:59.992,19.983316666666667,1200,18.399210713704427,96.99427853266398,150.24111666997274,75.60499057769775,88.99925207138061,60.96282196044922,99.93167599360147,17.15755163192749,45.1562183242147,41196.665,27.288998947143558,22.39042485555013,19.334023412068685,19.86340779622396,40.83079168717067
1970-11-27_15-05,2021-11-26 15:05:00.992,2021-11-26 15:34:59.992,29.98333333333333,1800,19.399514790640936,75.99949528588189,191.24595836215548,89.00930163065593,81.97327851613363,60.962825978597,99.92914840698242,8.24347179810206,51.57513583527257,41209.00944444445,26.781260079277885,22.18379536098904,19.51389204237196,21.074091398451063,41.50323629114363
1970-11-27_16-10,2021-11-26 16:10:00.003,2021-11-26 16:19:58.993,9.983166666666667,600,22.19849668502808,99.9961829249064,165.11113825480143,77.80264553070069,98.99449897766114,60.96282196044922,99.9283226776123,15.683609611193338,42.174591509311256,41224.05333333334,23.380015309651693,17.936781438191733,15.322953135172526,15.40228391011556,42.07195839722952
1970-11-27_16-40,2021-11-26 16:40:00.992,2021-11-26 16:54:59.991,14.983316666666669,900,24.800276455349398,80.99591876559788,181.1737101915148,86.80724080403645,88.03300081041124,60.96282196044922,99.92766571044922,23.23117930094401,41.096263933998905,41232.98222222222,28.42394816080729,23.362935824924044,20.500538635253907,21.840395355224608,42.331055091222126
1970-11-27_17-10,2021-11-26 17:10:00.993,2021-11-26 17:24:59.990,14.983283333333333,900,24.101111996968587,92.99605038960776,149.91287842644584,81.98030242919921,73.98933191087511,60.96282196044922,99.92768580118816,10.806705207427342,37.24491965830613,41241.194444444445,37.45591445922852,32.558277723524306,29.04286126030816,30.441256290011932,42.38516684214274
1970-11-27_17-53,2021-11-26 17:53:20.002,2021-11-26 18:09:58.994,16.649866666666664,1000,20.00062368202209,79.99337341308593,150.76864441680908,78.0096215057373,81.99280091094971,61.23046875,99.94565696716307,21.031790784835817,41.45437458901477,41253.278,30.949998260498045,26.41706184387207,23.52441702270508,24.968361328125,41.4619747838974
1970-11-28_07-35,2021-11-27 07:35:01.002,2021-11-27 07:54:58.994,19.96653333333333,1199,17.80018045586084,97.99350806610896,121.56193404082362,78.78819587332094,85.00441780122148,61.23046875,99.93551515479004,13.979701870177763,45.30377427978575,41478.8565471226,33.37914779446739,28.61169088712029,25.17850841175426,25.647199094643486,42.69837357502763
1970-11-28_08-40,2021-11-27 08:40:00.992,2021-11-27 09:09:59.990,29.9833,1800,20.199621440039746,96.99414461771649,172.9806137975057,89.99987372080486,79.99910983191596,61.23046875,99.93437149471708,13.123949546284146,51.46638017535777,41498.04833333333,32.62730796813965,28.143172658284502,24.71078907436795,25.71227414449056,42.184832584063216
1970-11-28_09-30,2021-11-27 09:30:00.994,2021-11-27 09:54:58.994,24.966666666666665,1499,21.00003897149695,93.99929062408792,185.0714551379793,85.683592462317,70.99973486454348,61.23046875,99.9306451442482,18.898015754552105,46.55599210950378,41511.05336891261,35.32064666646254,30.73693850710044,27.133309209720544,28.23219558888869,42.08527339148951
1970-11-28_10-15,2021-11-27 10:15:01.002,2021-11-27 10:34:59.994,19.9832,1200,21.69962959766388,93.9984922917684,176.5398291460673,89.99993682861329,85.97483144760132,61.23046875,99.92765968322756,17.771309929688773,48.06385233830434,41522.68916666666,29.10922874450684,24.30505854288737,21.19221860249837,21.95877909342448,42.33812509059906
