Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,baseline,batch_size,class_weight,data,epochs,frequency,initial_epoch,layers/channels,min_delta,model_key,monitor,opt_amsgrad,opt_beta_1,opt_beta_2,opt_clipnorm,opt_clipvalue,opt_ema_momentum,opt_ema_overwrite_frequency,opt_epsilon,opt_global_clipnorm,opt_gradient_accumulation_steps,opt_learning_rate,opt_loss_scale_factor,opt_name,opt_use_ema,opt_weight_decay,patience,restore_best_weights,sample_weight,sampling_stepsize,shuffle,smoothing_func,steps_per_epoch,transient_data_length,validation_batch_size,validation_freq,validation_split,validation_steps,window_width,loss,mean_absolute_error,stopped_epoch,test_mae_static,test_mae_transient,test_mse_static,test_mse_transient,val_loss,val_mean_absolute_error,validation_loss,validation_mean_absolute_error
2024-08-31 18:14:25,6.2s,436d59a1f69847619d7b011a6a70a168,funny-dove-222,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,16,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{None},,{4},,,,,180,,,,0.06638046960217242,0.056768738966038484,0.005328469926146147,0.0063111786193602,,,,
2024-08-31 18:14:13,6.7s,8e50364862954d92879ecbba62e3916b,debonair-jay-641,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,8,,lasso_regression,,,,,,,,,,,,,,,,,,,,1,,{None},,{4},,,,,180,,,,0.06638046960217242,0.056768738966038484,0.005328469926146147,0.0063111786193602,,,,
2024-08-31 18:14:01,7.7s,82143d2c737e4a62aea41570210ae951,adventurous-fawn-612,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,64,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{None},,{4},,,,,180,,,,0.0444045606438178,0.088024627280745,0.002832398708731453,0.013724159550223686,,,,
2024-08-31 18:13:50,5.9s,664e3bead4f2483e96dfe284dcaaa587,blushing-eel-98,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,16,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{None},,{4},,,,,180,,,,0.0444045606438178,0.088024627280745,0.002832398708731453,0.013724159550223686,,,,
2024-08-31 18:13:40,5.6s,ec79d87abf604fa78e1df7e0ac5d35ec,bustling-conch-174,LOCAL,src/main.py,mlflow_user,FINISHED,,,,transient,,1,,8,,linear_regression,,,,,,,,,,,,,,,,,,,,1,,{None},,{4},,,,,180,,,,0.0444045606438178,0.088024627280745,0.002832398708731453,0.013724159550223686,,,,
2024-08-31 18:10:40,2.9min,5c07d993db484ab28536a858fc870732,masked-eel-481,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,lstm,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{None},None,{4},None,1,0.2,None,180,0.0031670646276324987,0.03675682470202446,5,0.03784819396720398,0.040875943641245395,0.0023560232865061288,0.003443686767352706,0.001993998186662793,0.033108796924352646,0.001993998186662793,0.033108796924352646
2024-08-31 18:06:56,3.6min,a2b881d427cc4604911070667575a24a,capable-wren-583,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,lstm,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{None},None,{4},None,1,0.2,None,180,0.0030605203937739134,0.035232219845056534,17,0.030755942521810905,0.04086964973260639,0.001421803710240624,0.003490729142515668,0.0019913571886718273,0.0334027074277401,0.0019913571886718273,0.0334027074277401
2024-08-31 18:03:06,3.8min,bc07ef998d084b3e87b98d482549aecd,luminous-fox-794,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,8,0,lstm,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{None},None,{4},None,1,0.2,None,180,0.0030178138986229897,0.03424670919775963,17,0.04181515626890218,0.04268949052773806,0.002571429432297385,0.0037435512963686544,0.0022588567808270454,0.0362178198993206,0.0022588567808270454,0.0362178198993206
2024-08-31 18:00:47,2.2min,6f339b05c5ef48d288d94ce0bbb864f7,polite-ram-998,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,64,0,conv1d,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.018021272495388985,0.12234019488096237,1,0.17205088439110613,0.10899577478363598,0.031352210574614334,0.01481458906629142,0.013194163329899311,0.10545670986175537,0.013194163329899311,0.10545670986175537
2024-08-31 17:58:32,2.2min,113e57d01c3f462196dcd110c002ac3f,dapper-bat-979,LOCAL,src/main.py,mlflow_user,FINISHED,None,16,None,transient,20,1,0,16,0,conv1d,val_loss,False,0.9,999,None,None,0.99,None,1E-07,None,None,0.0010000000474974513,None,adam,False,None,1,False,None,1,True,{'rolling_mean'},None,{4},None,1,0.2,None,180,0.004986226093024015,0.046891748905181885,2,0.10282754150722176,0.059215055433643624,0.012442794860491085,0.006139303901846567,0.0033835244830697775,0.045648835599422455,0.0033835244830697775,0.045648835599422455
