segment,start,end,duration_min,n_samples,feed_rate,classifier_speed,tension_pressure,mill_fan_speed,main_drive_speed,recirculation_damper_position,stack_damper_position,hotgas_generator_load,total_specific_energy,tonnage,roller_height_1,roller_height_2,roller_height_3,roller_height_4,roller_temperature
1970-11-27_14-25,1970-11-27 14:25:00.993,1970-11-27 14:44:59.992,19.983316666666667,1200,18.399210713704427,96.99427853266398,150.24111666997274,75.60499057769775,88.99925207138061,60.96282196044922,99.93167599360149,17.15755163192749,45.1562183242147,41196.665,27.288998947143554,22.39042485555013,19.334023412068685,19.863407796223957,40.83079168717067
1970-11-27_15-05,1970-11-27 15:05:00.992,1970-11-27 15:34:59.992,29.983333333333334,1800,19.399514790640936,75.99949528588189,191.24595836215548,89.00930163065593,81.97327851613363,60.962825978597,99.92914840698242,8.24347179810206,51.57513583527257,41209.00944444445,26.781260079277885,22.18379536098904,19.51389204237196,21.074091398451063,41.50323629114363
1970-11-27_16-10,1970-11-27 16:10:00.003,1970-11-27 16:19:58.993,9.983166666666667,600,22.198496685028076,99.9961829249064,165.11113825480143,77.80264553070069,98.99449897766114,60.96282196044922,99.9283226776123,15.683609611193338,42.174591509311256,41224.05333333334,23.380015309651693,17.936781438191733,15.322953135172526,15.40228391011556,42.071958397229515
1970-11-27_16-40,1970-11-27 16:40:00.992,1970-11-27 16:54:59.991,14.983316666666667,900,24.800276455349394,80.99591876559788,181.17371019151477,86.80724080403645,88.03300081041124,60.96282196044922,99.92766571044922,23.23117930094401,41.096263933998905,41232.98222222222,28.423948160807292,23.362935824924044,20.500538635253907,21.840395355224608,42.331055091222126
1970-11-27_17-10,1970-11-27 17:10:00.993,1970-11-27 17:24:59.990,14.983283333333333,900,24.101111996968587,92.99605038960775,149.91287842644584,81.98030242919921,73.98933191087511,60.96282196044922,99.92768580118815,10.806705207427342,37.24491965830613,41241.194444444445,37.45591445922852,32.558277723524306,29.04286126030816,30.441256290011935,42.38516684214274
1970-11-27_17-53,1970-11-27 17:53:20.002,1970-11-27 18:09:58.994,16.649866666666664,1000,20.000623682022095,79.99337341308593,150.76864441680908,78.0096215057373,81.99280091094971,61.23046875,99.94565696716309,21.031790784835817,41.45437458901477,41253.278,30.949998260498045,26.41706184387207,23.524417022705077,24.968361328125,41.461974783897396
1970-11-28_07-35,1970-11-28 07:35:01.002,1970-11-28 07:54:58.994,19.966533333333334,1199,17.80018045586084,97.99350806610896,121.56193404082362,78.78819587332094,85.00441780122148,61.23046875,99.93551515479004,13.979701870177765,45.30377427978575,41478.8565471226,33.37914779446739,28.61169088712029,25.17850841175426,25.647199094643486,42.69837357502763
1970-11-28_08-40,1970-11-28 08:40:00.992,1970-11-28 09:09:59.990,29.9833,1800,20.199621440039742,96.99414461771647,172.9806137975057,89.99987372080486,79.99910983191596,61.23046875,99.93437149471708,13.123949546284146,51.46638017535777,41498.04833333333,32.62730796813965,28.143172658284506,24.71078907436795,25.71227414449056,42.184832584063216
1970-11-28_09-30,1970-11-28 09:30:00.994,1970-11-28 09:54:58.994,24.966666666666665,1499,21.00003897149695,93.99929062408793,185.07145513797934,85.683592462317,70.99973486454348,61.23046875,99.93064514424819,18.898015754552105,46.555992109503784,41511.05336891261,35.32064666646254,30.736938507100437,27.133309209720544,28.232195588888686,42.08527339148951
1970-11-28_10-15,1970-11-28 10:15:01.002,1970-11-28 10:34:59.994,19.9832,1200,21.69962959766388,93.99849229176839,176.5398291460673,89.99993682861329,85.97483144760132,61.23046875,99.92765968322755,17.771309929688773,48.06385233830434,41522.68916666666,29.109228744506837,24.30505854288737,21.19221860249837,21.95877909342448,42.33812509059906
1970-11-28_11-15,1970-11-28 11:15:00.992,1970-11-28 11:59:59.993,44.98335,2700,18.799986291814733,83.0001769680447,132.0833846339473,84.01307559543186,71.99181380377875,61.23046875,99.9231527822989,14.818357756579363,43.67108075197226,41542.57407407407,37.2993382941352,32.9583760409885,29.741847325077764,30.629151311803746,42.11290718714396
1970-11-28_12-55,1970-11-28 12:55:00.001,1970-11-28 13:19:59.993,24.999866666666666,1501,15.899780233409864,89.99955852185782,184.28458705447184,72.49984859641911,75.99100731755001,61.23047356856497,99.92399626140353,7.617989304858315,52.85713103329098,41567.221185876086,29.799828963308315,25.62637314869514,22.598961491492652,24.04993535803605,42.01149281241908
1970-11-28_13-40,1970-11-28 13:40:00.004,1970-11-28 13:59:59.994,19.999833333333335,1201,15.59950504096521,84.99498403836647,163.29913214461988,90.00012611052476,73.99983205803228,61.23046875,99.93688105345765,12.519649206252023,58.64218973434602,41578.85928393006,30.914395067912157,26.87552757803149,23.957099590571495,25.497503987359167,41.767298372063806
1970-11-29_10-20,1970-11-29 10:20:00.001,1970-11-29 10:59:59.995,39.999900000000004,2401,19.999767620431438,85.9944658609094,144.4998740975135,90.00003153122945,75.98425799476658,61.23046875,99.94170624313132,18.288141731220897,46.4821240537666,41921.33194502291,35.232960374888556,30.916601699771906,27.636970491421216,28.130642873056228,42.76629512005178
1970-11-29_12-30,1970-11-29 12:30:00.001,1970-11-29 13:29:58.992,59.983183333333336,3600,24.800417290263706,81.99926484213935,131.17811200353833,81.97897663116456,89.99097479290432,61.230472768147784,99.92885551876492,28.942409359084234,36.357870249619424,41959.69611111111,33.95970007578532,29.05336711883545,25.611833907233343,25.571889322068955,42.717006800174715
1970-11-29_15-50,1970-11-29 15:50:00.002,1970-11-29 16:09:59.994,19.999866666666666,1201,26.399499832839393,92.99343857459482,167.52270387114334,84.60986129925908,87.02039894275522,61.230477783304764,99.94038460355912,31.822740286414966,38.589676608287405,42009.0049958368,32.09989851698292,27.372471157458303,23.81292874529201,23.854282185398073,42.26430060762251
1970-11-29_17-05,1970-11-29 17:05:00.990,1970-11-29 17:29:59.992,24.983366666666665,1500,29.999991992950438,96.00140441385905,160.1196944325765,87.28343536376953,86.00299815368652,61.23046875,99.93778504435221,40.79350340525309,36.139253954352576,42030.23533333333,35.78144253540039,30.75887764485677,27.357455240885418,27.1703257039388,42.269049657185874
1970-11-29_17-50,1970-11-29 17:50:00.994,1970-11-29 18:09:59.995,19.983349999999998,1200,28.899573737780255,95.99809141159058,187.20444079081216,83.5981014251709,82.01875093460083,61.23046875,99.9496891784668,31.807075675328573,37.3050510760631,42041.8725,33.50217455546061,28.675156415303547,25.17298412322998,24.88680455525716,42.01981239159902
