time,feed_rate,classifier_speed,tension_pressure,mill_fan_speed,main_drive_speed,recirculation_damper_position,stack_damper_position,hotgas_generator_load,total_specific_energy,tonnage,roller_height_1,roller_height_2,roller_height_3,roller_height_4,roller_temperature
2021-11-27 08:40:00.992,19.9460391998291,97.0481948852539,177.5553436279297,90.0,78.69999694824219,61.23046875,99.93489074707033,14.212190628051758,53.87790831605621,41494.0,28.53182983398437,29.782974243164062,28.885406494140625,20.970489501953125,42.17499923706055
2021-11-27 08:40:01.993,19.9460391998291,97.0481948852539,177.5553436279297,90.0,78.69999694824219,61.23046875,99.93489074707033,14.212190628051758,53.87790831605621,41494.0,28.53182983398437,29.782974243164062,28.885406494140625,20.970489501953125,42.17499923706055
2021-11-27 08:40:02.990,19.948925018310547,96.9277114868164,177.20540618896484,90.0,79.79999542236328,61.23046875,99.93489074707033,14.229253768920898,51.571487358903575,41494.0,27.68865966796875,25.45831298828125,24.88714599609375,26.35589599609375,42.17499923706055
2021-11-27 08:40:04.002,20.010522842407227,96.98795318603516,176.39974212646484,90.0,79.9000015258789,61.23046875,99.93489074707033,14.24696159362793,52.40814249781032,41494.0,29.375,28.25982666015625,27.90625,28.395828247070312,42.17499923706055
2021-11-27 08:40:05.991,20.15674591064453,97.10843658447266,176.9612579345703,90.0,79.9000015258789,61.23046875,99.93489074707033,14.252471923828123,53.25540928506407,41494.0,31.578125,28.20542907714844,24.234375,26.083892822265625,42.17499923706055
2021-11-27 08:40:05.000,20.010522842407227,96.98795318603516,176.39974212646484,90.0,79.9000015258789,61.23046875,99.93489074707033,14.24696159362793,52.40814249781032,41494.0,29.375,28.25982666015625,27.90625,28.395828247070312,42.17499923706055
2021-11-27 08:40:06.991,20.312519073486328,96.98795318603516,176.76595306396484,90.0,80.80000305175781,61.23046875,99.93489074707033,14.260787010192873,51.2157436751205,41494.0,35.358795166015625,27.770233154296875,21.160873413085938,29.918975830078125,42.17499923706055
2021-11-27 08:40:07.991,20.312519073486328,96.98795318603516,176.76595306396484,90.0,80.80000305175781,61.23046875,99.93489074707033,14.260787010192873,51.2157436751205,41494.0,35.358795166015625,27.770233154296875,21.160873413085938,29.918975830078125,42.17499923706055
2021-11-27 08:40:08.993,20.349267959594727,96.86746978759766,175.7975311279297,90.0,80.0999984741211,61.23046875,99.93489074707033,14.27860164642334,53.6433720250032,41494.0,33.86285400390625,25.947906494140625,22.711212158203125,26.62788391113281,42.17499923706055
2021-11-27 08:40:10.001,20.35964775085449,96.9277114868164,176.37532806396484,90.0,80.29999542236328,61.23046875,99.93489074707033,14.284592628479004,51.95992624915933,41494.0,36.093170166015625,28.91259765625,24.75115966796875,25.295135498046875,42.17499923706055
2021-11-27 08:40:10.990,20.353242874145508,97.0481948852539,175.7731170654297,90.0,80.0999984741211,61.23046875,99.93489074707033,14.293850898742676,51.82837571986253,41494.0,32.77490234375,28.66781616210937,22.439239501953125,24.179962158203125,42.17499923706055
2021-11-27 08:40:11.992,20.353242874145508,97.0481948852539,175.7731170654297,90.0,80.0999984741211,61.23046875,99.93489074707033,14.293850898742676,51.82837571986253,41494.0,32.77490234375,28.66781616210937,22.439239501953125,24.179962158203125,42.17499923706055
2021-11-27 08:40:12.992,20.35370826721192,96.98795318603516,176.4241485595703,90.0,79.79999542236328,61.23046875,99.93489074707033,14.308530807495115,51.63017297484209,41494.0,29.89178466796875,28.6134033203125,26.79107666015625,23.77197265625,42.17499923706055
2021-11-27 08:40:13.995,20.39794540405273,96.98795318603516,175.78939056396484,90.0,79.5,61.23046875,99.93489074707033,14.315789222717283,52.4491768494122,41494.0,31.0069580078125,25.811920166015625,24.098373413085938,27.96063232421875,42.17499923706055
2021-11-27 08:40:14.994,20.39794540405273,96.98795318603516,175.78939056396484,90.0,79.5,61.23046875,99.93489074707033,14.315789222717283,52.4491768494122,41494.0,31.0069580078125,25.811920166015625,24.098373413085938,27.96063232421875,42.17499923706055
2021-11-27 08:40:15.994,20.412708282470703,97.0481948852539,176.025390625,90.0,80.0999984741211,61.23046875,99.93489074707033,14.33994960784912,52.35748427089989,41494.0,32.502899169921875,27.7430419921875,25.62152099609375,25.295135498046875,42.17499923706055
2021-11-27 08:40:17.001,20.306713104248047,96.98795318603516,175.5859375,90.0,80.29999542236328,61.23046875,99.93489074707033,14.349318504333496,52.027787739257896,41494.0,32.366912841796875,31.11572265625,23.989578247070312,26.192703247070312,42.17499923706055
2021-11-27 08:40:17.990,20.306713104248047,96.98795318603516,175.5859375,90.0,80.29999542236328,61.23046875,99.93489074707033,14.349318504333496,52.027787739257896,41494.0,32.366912841796875,31.11572265625,23.989578247070312,26.192703247070312,42.17499923706055
2021-11-27 08:40:18.992,20.17124557495117,96.86746978759766,175.81380462646484,90.0,80.5999984741211,61.23046875,99.93489074707033,14.357980728149414,51.98824589794075,41494.0,34.97802734375,28.232635498046875,22.4664306640625,27.661453247070312,42.17499923706055
2021-11-27 08:40:19.992,20.100095748901367,97.0481948852539,174.88607025146484,90.0,79.9000015258789,61.23046875,99.93489074707033,14.37519359588623,52.55111826558498,41494.0,35.5491943359375,25.104736328125,23.52719116210937,24.479156494140625,42.17499923706055
2021-11-27 08:40:21.002,20.100095748901367,97.0481948852539,174.88607025146484,90.0,79.9000015258789,61.23046875,99.93489074707033,14.37519359588623,52.55111826558498,41494.0,35.5491943359375,25.104736328125,23.52719116210937,24.479156494140625,42.17499923706055
2021-11-27 08:40:21.992,20.11563491821289,96.98795318603516,175.07324981689453,90.0,80.4000015258789,61.23046875,99.93489074707033,14.39388942718506,50.70480996997455,41494.0,33.400482177734375,25.02313232421875,20.671295166015625,25.24072265625,42.17499923706055
2021-11-27 08:40:23.002,20.158580780029297,96.98795318603516,174.96744537353516,90.0,80.19999694824219,61.23046875,99.93489074707033,14.404016494750977,49.59382100430111,41494.0,32.421295166015625,27.579849243164062,23.744781494140625,26.899871826171875,42.17499923706055
